title,author
Parallel Integer Sorting and Simulation Amongst CRCW Models.,Sanjeev Saxena
Pattern Matching in Trees and Nets.,Hans-Ulrich Simon
NP-complete Problems Simplified on Tree Schemas.,Nathan Goodman
NP-complete Problems Simplified on Tree Schemas.,Oded Shmueli
On the Power of Chain Rules in Context Free Grammars.,Norbert Blum
nhage,Arnold Sch&ouml
A characterization of rational D0L power series.,Juha Honkala
The Derivation of Systolic Implementations of Programs.,Chua-Huang Huang
The Derivation of Systolic Implementations of Programs.,Christian Lengauer
Fifo Nets Without Order Deadlock.,Alain Finkel
Fifo Nets Without Order Deadlock.,Annie Choquet
On the Complementation Rule for Multivalued Dependencies in Database Relations.,Joachim Biskup
n F&uuml,Symeon Bozapalidis
n F&uuml,Zolt&aacute
Merged processes: a new condensed representation of Petri net behaviour.,Victor Khomenko
Merged processes: a new condensed representation of Petri net behaviour.,Alex Kondratyev
Merged processes: a new condensed representation of Petri net behaviour.,Maciej Koutny
Merged processes: a new condensed representation of Petri net behaviour.,Walter Vogler
Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Wim H. Hesselink
A Three-Stage Construction for Multiconnection Networks.,Christian Ronse
The Expressive Power of Delay Operators in SCCS.,Carol Critchlow
The Expressive Power of Delay Operators in SCCS.,Prakash Panangaden
Calculi for Interaction.,Robin Milner
A Synthesis of Several Sorting Algorithms.,John Darlington
A Workload Model Representative of Static and Dynamic Characteristics.,Maria Calzarossa
A Workload Model Representative of Static and Dynamic Characteristics.,M. Italiani
A Workload Model Representative of Static and Dynamic Characteristics.,Giuseppe Serazzi
Gray visiting Motzkins.,Vincent Vajnovszki
ller 0001,Walter Vogler
ller 0001,Christian Stahl
ller 0001,Richard M&uuml
Branching Processes in the Analysis of the Heights of Trees.,Luc Devroye
Least Upper Bound on the Cost of Optimum Binary Search Trees.,T. C. Hu
Least Upper Bound on the Cost of Optimum Binary Search Trees.,K. C. Tan
The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,William R. Franta
Invariants, Composition, and Substitution.,Ekkart Kindler
Maximum Entropy and the <i> G/G/1/N </i> Queue.,Demetres D. Kouvatsos
Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,Sergei Gorlatch
Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,Christian Lengauer
A theory of structural stationarity in the <i>pi</i> -Calculus.,Roland Meyer
Hex ist PSPACE-vollst&auml,Stefan Reisch
bet Csuhaj-Varj&uacute,Erzs&eacute
Relational structures model of concurrency.,Ryszard Janicki
On an Equivalence between Continuation and Stack Semantics.,Bruce Russell
Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,Andrzej Ehrenfeucht
Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,Grzegorz Rozenberg
A Note on the Density of Inherently Ambiguous Context-free Languages.,Rainer Kemp
Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,Yijie Han
Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,Yoshihide Igarashi
Computational Algorithms for Networks of Queues with Rejection Blocking.,Ian F. Akyildiz
Computational Algorithms for Networks of Queues with Rejection Blocking.,Horst von Brand
Compositional Refinements in Multiple Blackboard Systems.,X. J. Chen
Compositional Refinements in Multiple Blackboard Systems.,Carlo Montangero
diger Olderog,Rob J. van Glabbeek
diger Olderog,Ursula Goltz
diger Olderog,Ernst-R&uuml
Automatic verification of concurrent systems using a formula-based compositional approach.,Antonella Santone
On Removing the Machine from the Language.,Eric C. R. Hehner
Complete Problems for Space Bounded Subclasses of NP.,Moon-Jung Chung
Complete Problems for Space Bounded Subclasses of NP.,Michael Evangelist
Complete Problems for Space Bounded Subclasses of NP.,Ivan Hal Sudborough
Efficient controller synthesis for a fragment of MTL<sub>0,&#8734,Peter E. Bulychev
Efficient controller synthesis for a fragment of MTL<sub>0,&#8734,Alexandre David
Efficient controller synthesis for a fragment of MTL<sub>0,&#8734,Kim G. Larsen
Efficient controller synthesis for a fragment of MTL<sub>0,&#8734,Guangyuan Li
Two Notions of Correctness and Their Relation to Testing.,Timothy A. Budd
Two Notions of Correctness and Their Relation to Testing.,Dana Angluin
Best Huffman Trees.,George Markowsky
Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,Manfred P. Stadel
The Parsing Problem for Affix Grammars.,David A. Watt
On Efficient Entreeings.,Paul S. Amerins
On Efficient Entreeings.,Ricardo A. Baeza-Yates
On Efficient Entreeings.,Derick Wood
Persistence of Vector Replacement Systems is Decidable.,Ernst W. Mayr
Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,Karel Culik II
Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,Simant Dube
Functional Behavior in Data Spaces.,Armin B. Cremers
Functional Behavior in Data Spaces.,Thomas N. Hibbard
Inductive Completion with Retracts.,William P. R. Mitchell
Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,Patrick Cousot
Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,Radhia Cousot
Complete Parameterized Families of Job Scheduling Strategies.,Isi Mitrani
Complete Parameterized Families of Job Scheduling Strategies.,J. H. Hine
Modelling higher-order dual nondeterminacy.,Joseph M. Morris
Modelling higher-order dual nondeterminacy.,Malcolm Tyrrell
rgen Nehmer,J&uuml
A Note on Multihead Automata and Context-Sensitive Languages,Walter J. Savitch
A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,Karl Meinke
Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,Joost Engelfriet
Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,Linda Heyker
Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,George Leih
Worst Case Performance of Weighted Buddy Systems.,Shyamal K. Chowdhury
Worst Case Performance of Weighted Buddy Systems.,Pradip K. Srimani
Contextual Nets.,Ugo Montanari
Contextual Nets.,Francesca Rossi
COSY - A System Specification Language Based on Paths and Processes.,Peter E. Lauer
COSY - A System Specification Language Based on Paths and Processes.,Piero R. Torrigiani
COSY - A System Specification Language Based on Paths and Processes.,M. W. Shields
Applying relation algebra and Rel View to solve problems on orders and lattices.,Rudolf Berghammer
Eliminating Unit Productions from LR Parsers.,David Pager
ncke,Matthias Olk,Reinhard Wilhelm,Peter Lipps
ncke,Matthias Olk,Reinhard Wilhelm,Ulrich M&ouml
On Parallel Integer Sorting.,Sanguthevar Rajasekaran
On Parallel Integer Sorting.,Sandeep Sen
Domain Independence and the Relational Calculus.,Richard Hull
Domain Independence and the Relational Calculus.,Jianwen Su
Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,John K. Lee
Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Alan Fekete
Bounded Quantification and Relations Recognizable by Finite Automata.,Teuvo Laurinolli
A Complete Algebraic Characterization of Behavioral Subtyping.,Gary T. Leavens
A Complete Algebraic Characterization of Behavioral Subtyping.,Don Pigozzi
Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Y. Daniel Liang
Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Maw-Shang Chang
Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Gilles Bernot
Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Michel Bidoit
Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Teodor Knapik
Instruction sequence processing operators.,Jan A. Bergstra
Instruction sequence processing operators.,C. A. Middelburg
What is Failure? An Approach to Constructive Negation.,Wlodzimierz Drabent
fer,Walter Vogler,Ralf Wollowski,Victor Khomenko
fer,Walter Vogler,Ralf Wollowski,Mark Sch&auml
Quad Trees: A Data Structure for Retrieval on Composite Keys.,Raphael A. Finkel
Quad Trees: A Data Structure for Retrieval on Composite Keys.,Jon Louis Bentley
On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Alfred Schmitt
A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Jacques Labetoulle
A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Guy Pujolle
Explaining the Wheel Sieve.,Paul Pritchard
Another Polynomial Homomorphism.,Robert T. Moenck
Variance Reduction Techniques for the Simulation of Markov Process.,Philip Heidelberger
State complexity of deletion and bipolar deletion.,Yo-Sub Han
State complexity of deletion and bipolar deletion.,Sang-Ki Ko
State complexity of deletion and bipolar deletion.,Kai Salomaa
Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Siegfried Bublitz
Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Benedek Nagy
Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Friedrich Otto
On the Synchronization in Parallel Communicating Grammar Systems.,Gheorghe Paun
Weakly Context-Sensitive Languages as Model for Programming Languages.,P. F. Schuler
Rules of Inference for Procedure Calls.,George W. Ernst
nther E. Pfaff,G&uuml
High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Joost Engelfriet
High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Heiko Vogler
Gobang ist PSPACE-vollst&auml,Stefan Reisch
A note on autodense related languages.,Chen-Ming Fan
A note on autodense related languages.,Cheng-Chih Huang
A note on autodense related languages.,Huei-Jan Shyr
A note on autodense related languages.,Kuo-Hsiang Chen
Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Linqiang Pan
Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Artiom Alhazov
Optimizing the Costs of Hierarchical Quorum Consensus.,Akhil Kumar 0001
Optimizing the Costs of Hierarchical Quorum Consensus.,Kavindra Malik
Recursive Petri nets.,Serge Haddad
Recursive Petri nets.,Denis Poitrenaud
Multitype Multiprogramming Models.,Donald P. Gaver
Multitype Multiprogramming Models.,George Humfeld
vy,J.-P. L&eacute
Representation and uniformization of algebraic transductions.,Stavros Konstantinidis
Representation and uniformization of algebraic transductions.,Nicolae Santean
Representation and uniformization of algebraic transductions.,Sheng Yu
Concurrent Bisimulations in Petri Nets.,Eike Best
Concurrent Bisimulations in Petri Nets.,Raymond R. Devillers
Concurrent Bisimulations in Petri Nets.,Astrid Kiehn
Concurrent Bisimulations in Petri Nets.,Lucia Pomello
ttner,Markus B&uuml
Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Andrzej Ehrenfeucht
Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Hendrik Jan Hoogeboom
Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Grzegorz Rozenberg
State space axioms for T-systems.,Eike Best
State space axioms for T-systems.,Raymond R. Devillers
Extended multi bottom-up tree transducers.,Joost Engelfriet
Extended multi bottom-up tree transducers.,Eric Lilin
Extended multi bottom-up tree transducers.,Andreas Maletti
The Clean Termination of Iterative Programs.,Andrzej Blikle
ger,Fred Kr&ouml
n &Eacute,Zolt&aacute
,Rob van Stee
,Johannes A. La Poutr&eacute
Data Refinement by Calculation.,Carroll Morgan
Data Refinement by Calculation.,Paul H. B. Gardiner
Program Refinement in Fair Transition Systems.,Ambuj K. Singh
A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Paul Caspi
A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Nicolas Halbwachs
M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.,Eike Best
M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.,Wojciech Fraczak
M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.,Richard P. Hopkins
M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.,Hanna Klaudel
M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.,Elisabeth Pelz
On the Look-Ahead Problem in Lexical Analysis.,Wuu Yang
kan Lennerstad,Kamilla Klonowska
kan Lennerstad,Lars Lundberg
kan Lennerstad,H&aring
Data Encodings and Their Costs.,Arnold L. Rosenberg
Hierarchies of Complete Problems.,Zvi Galil
Ein Vollst&auml,Volker Claus
Type-based information flow analysis for the pi-calculus.,Naoki Kobayashi 0001
Sur une Conjecture de S. Greibach.,Jean Berstel
A Conservation Law for G/G/m Queueing Systems.,B. Bartsch
A Conservation Law for G/G/m Queueing Systems.,Gunter Bolch
Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Zvi Galil
Context-Free Graph Grammars and Concatenation of Graphs.,Joost Engelfriet
Context-Free Graph Grammars and Concatenation of Graphs.,Jan Joris Vereijken
On a Class of Recursive Procedures and Equivalent Iterative Ones.,Teruo Hikita
Algorithms for Fast Evaluation of Boolean Expressions.,Yuri Breitbart
Algorithms for Fast Evaluation of Boolean Expressions.,Allen Reiter
A Comparison of Two Synchronizing Concepts.,Per Brinch Hansen
How to Calculate Symmetries of Petri Nets.,Karsten Schmidt 0004
Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems.  I. Deterministic Systems.,Mogens Nielsen
Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems.  I. Deterministic Systems.,Grzegorz Rozenberg
Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems.  I. Deterministic Systems.,Arto Salomaa
Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems.  I. Deterministic Systems.,Sven Skyum
Recognizability of graph and pattern languages.,Symeon Bozapalidis
Recognizability of graph and pattern languages.,Antonios Kalampakas
rg Desel,Wolfgang Reisig,J&ouml
A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,Wolfgang Merzenich
On weighted first-order logics with discounting.,Eleni Mandrali
On weighted first-order logics with discounting.,George Rahonis
A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,Dirk Janssens
A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,Grzegorz Rozenberg
Demonic, angelic and unbounded probabilistic choices in sequential programs.,Annabelle McIver
Demonic, angelic and unbounded probabilistic choices in sequential programs.,Carroll Morgan
An Efficiency Preorder for Processes.,S. Arun-Kumar
An Efficiency Preorder for Processes.,Matthew Hennessy
On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,Benedetto Intrigila
On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,Stefano Varricchio
Modeling Splits in File Structures.,Ricardo A. Baeza-Yates
Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,Emanuela Fachini
Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,Angelo Monti
Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,Margherita Napoli
Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,Domenico Parente
Synchronized regular expressions.,Giuseppe Della Penna
Synchronized regular expressions.,Benedetto Intrigila
Synchronized regular expressions.,Enrico Tronci
Synchronized regular expressions.,Marisa Venturini Zilli
On regular tree languages and deterministic pushdown automata.,Jan Janousek
On regular tree languages and deterministic pushdown automata.,Borivoj Melichar
A Modal Logic for Message Passing Processes.,Matthew Hennessy
A Modal Logic for Message Passing Processes.,Xinxin Liu
Maintaining Range Trees in Secondary Memory. Part I: Partitions.,Mark H. Overmars
Maintaining Range Trees in Secondary Memory. Part I: Partitions.,Michiel H. M. Smid
Maintaining Range Trees in Secondary Memory. Part I: Partitions.,Mark de Berg
Maintaining Range Trees in Secondary Memory. Part I: Partitions.,Marc J. van Kreveld
Does indirect addressing matter? - A note.,Michael Brand
Reasoning Algebraically about Loops.,Ralph-Johan Back
Reasoning Algebraically about Loops.,Joakim von Wright
A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,Alexandre Brandwajn
Trace Nets and Process Automata.,Eric Badouel
Trace Nets and Process Automata.,Philippe Darondeau
A Principle of Independence for Binary Tree Searching.,Leonidas J. Guibas
ting,Ralf Hartmut G&uuml
The Paging Drum Queue: A Uniform Perspective and Further Results.,Clement H. C. Leung
The Paging Drum Queue: A Uniform Perspective and Further Results.,Qui Hoon Choo
lldobler,Stephan Heilbrunner
lldobler,Steffen H&ouml
The Programming Language Pascal.,Niklaus Wirth
Semantics, calculi, and analysis for object-oriented specifications.,Achim D. Brucker
Semantics, calculi, and analysis for object-oriented specifications.,Burkhart Wolff
Inhibitionsfelder.,Hermann K.-G. Walter
Head and state hierarchies for unary multi-head finite automata.,Martin Kutrib
Head and state hierarchies for unary multi-head finite automata.,Andreas Malcher
Head and state hierarchies for unary multi-head finite automata.,Matthias Wendlandt
On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Bernhard Mescheder
n Kucera,Jan Strejcek,Anton&iacute
Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,Thomas P. Murtagh
Lazy Structure Sharing for Query Optimization.,Adam L. Buchsbaum
Lazy Structure Sharing for Query Optimization.,Rajamani Sundar
Lazy Structure Sharing for Query Optimization.,Robert Endre Tarjan
Fair ambients.,Yuxi Fu
Concurrent Access to Data.,Norbert Ramsperger
Relaxed red-black trees with group updates.,Kim S. Larsen
Generation of Efficient <i> LALR </i> Parsers for Regular Right Part Grammars.,Ikuo Nakata
Generation of Efficient <i> LALR </i> Parsers for Regular Right Part Grammars.,Masataka Sassa
szl&oacute,Tien Van Do
szl&oacute,Ram Chakka
szl&oacute,Nam H. Do
szl&oacute,L&aacute
Priority Conflict-Free Petri Nets.,Hsu-Chun Yen
Optimum Multiway Search Trees.,Vijay K. Vaishnavi
Optimum Multiway Search Trees.,Hans-Peter Kriegel
Optimum Multiway Search Trees.,Derick Wood
Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,Norbert Blum
Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,Martin Seysen
Parallel Integer Sorting Using Small Operations.,Ramachandran Vaidyanathan
Parallel Integer Sorting Using Small Operations.,Carlos R. P. Hartmann
Parallel Integer Sorting Using Small Operations.,Pramod K. Varshney
n Gaso,Martin Neh&eacute,J&aacute
rski,Andrzej Duda
rski,Tadeusz Czach&oacute
Some properties of the disjunctive languages contained in <i>Q</i>.,Zheng-Zhu Li
Some properties of the disjunctive languages contained in <i>Q</i>.,Y. S. Tsai
Systolic Automata for VLSI on Balanced Trees.,Karel Culik II
Systolic Automata for VLSI on Balanced Trees.,Jozef Gruska
Systolic Automata for VLSI on Balanced Trees.,Arto Salomaa
A new natural structural congruence in the pi-calculus with replication.,Joost Engelfriet
A new natural structural congruence in the pi-calculus with replication.,Tjalling Gelsema
Optimal Multiprogramming.,Peter J. Denning
Optimal Multiprogramming.,Kevin C. Kahn
Optimal Multiprogramming.,Jacques Leroudier
Optimal Multiprogramming.,Dominique Potier
Optimal Multiprogramming.,Rajan Suri
Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,Emanuela Fachini
Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,Andrea Maggiolo-Schettini
Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,Davide Sangiorgi
On Real-Time Cellular Automata and Trellis Automata.,Christian Choffrut
On Real-Time Cellular Automata and Trellis Automata.,Karel Culik II
diger Olderog,Michael Schenke
diger Olderog,Ernst-R&uuml
Performance Preorder and Competitive Equivalence.,Flavio Corradini
Performance Preorder and Competitive Equivalence.,Roberto Gorrieri
Performance Preorder and Competitive Equivalence.,Marco Roccetti
A Survey of Normal Form Covers for Context Free Grammars.,Anton Nijholt
A Note on Synthesis and Classification of Sorting Algorithms.,Kung-Kiu Lau
Liveness of a mutex algorithm in a fair process algebra.,Flavio Corradini
Liveness of a mutex algorithm in a fair process algebra.,Maria Rita Di Berardini
Liveness of a mutex algorithm in a fair process algebra.,Walter Vogler
Another Look at the "Longest Ascending Subsequence" Problem.,Paul Pritchard
Complexity Theory and the Operational Structure of Algebraic Programming Systems.,Peter R. J. Asveld
Complexity Theory and the Operational Structure of Algebraic Programming Systems.,J. V. Tucker
Models for Reactivity.,Zohar Manna
Models for Reactivity.,Amir Pnueli
Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition.,Joost Engelfriet
Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition.,Tjalling Gelsema
A Proof System for Distributed Processes.,Ann E. Kelley Sobel
A Proof System for Distributed Processes.,Neelam Soundararajan
Finite State Relational Programs.,Giora Slutzki
A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Sto&szlig,Thomas Klingler
A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Sto&szlig,Stefan Reisch
gberg,Andreas Maletti,Frank Drewes
gberg,Andreas Maletti,Johanna H&ouml
Exponentially decreasing number of operations in balanced trees.,Lars Jacobsen
Exponentially decreasing number of operations in balanced trees.,Kim S. Larsen
Correctness of the Compiling Process Based on Axiomatic Semantics.,Bruce Russell
rg H. Siekmann,Graham Wrightson,J&ouml
The Lattice of Data Refinement.,Joakim von Wright
Backtracking in Recursive Computations.,Nissim Francez
Backtracking in Recursive Computations.,Boris Klebansky
Backtracking in Recursive Computations.,Amir Pnueli
Efficient LL(1) Error Correction and Recovery Using Only Insertions.,Charles N. Fischer
Efficient LL(1) Error Correction and Recovery Using Only Insertions.,D. R. Milton
Efficient LL(1) Error Correction and Recovery Using Only Insertions.,S. B. Quiring
Formal Derivation of Strongly Correct Concurrent Programs.,Axel van Lamsweerde
Formal Derivation of Strongly Correct Concurrent Programs.,Michel Sintzoff
Efficient Worst-Case Data Structures for Range Searching.,Jon Louis Bentley
Efficient Worst-Case Data Structures for Range Searching.,Hermann A. Maurer
n,Manuel Ojeda-Aciego,Agust&iacute,Inman P. de Guzm&aacute
Monotone Data Flow Analysis Frameworks.,John B. Kam
Monotone Data Flow Analysis Frameworks.,Jeffrey D. Ullman
